Especies,Conteo,Localidad,Tipo de Observación,Fecha de la Observación,HORA DE INICIO,DURACION,DISTANCIA RECORRIDA,AREA CUBIERTA,ELEVACIóN:,Número de Personas que Salieron a Observar Aves,Lista completa,# de especies,Detalles
Curutié Colorado (Certhiaxis cinnamomeus),2,Laguna de Castillos--Área general,Con Desplazamiento,18/12/2024,06:16 AM,"2 hora(s), 15 minuto(s)",3.007 kilómetro(s),,,2,true,48 especies,
Fiofío Pico Corto (Elaenia parvirostris),1,Laguna de Castillos--Área general,Con Desplazamiento,18/12/2024,06:16 AM,"2 hora(s), 15 minuto(s)",3.007 kilómetro(s),,,2,true,48 especies,
Tiquitiqui Común (Serpophaga subcristata),2,Laguna de Castillos--Área general,Con Desplazamiento,18/12/2024,06:16 AM,"2 hora(s), 15 minuto(s)",3.007 kilómetro(s),,,2,true,48 especies,
Churrinche (Pyrocephalus rubinus),3,Laguna de Castillos--Área general,Con Desplazamiento,18/12/2024,06:16 AM,"2 hora(s), 15 minuto(s)",3.007 kilómetro(s),,,2,true,48 especies,
Pico de Plata (Hymenops perspicillatus),4,Laguna de Castillos--Área general,Con Desplazamiento,18/12/2024,06:16 AM,"2 hora(s), 15 minuto(s)",3.007 kilómetro(s),,,2,true,48 especies,
Viudita Blanca Común (Xolmis irupero),2,Laguna de Castillos--Área general,Con Desplazamiento,18/12/2024,06:16 AM,"2 hora(s), 15 minuto(s)",3.007 kilómetro(s),,,2,true,48 especies,
Benteveo (Pitangus sulphuratus),10,Laguna de Castillos--Área general,Con Desplazamiento,18/12/2024,06:16 AM,"2 hora(s), 15 minuto(s)",3.007 kilómetro(s),,,2,true,48 especies,
Benteveo Real (Tyrannus melancholicus),1,Laguna de Castillos--Área general,Con Desplazamiento,18/12/2024,06:16 AM,"2 hora(s), 15 minuto(s)",3.007 kilómetro(s),,,2,true,48 especies,
Tijereta (Tyrannus savana),3,Laguna de Castillos--Área general,Con Desplazamiento,18/12/2024,06:16 AM,"2 hora(s), 15 minuto(s)",3.007 kilómetro(s),,,2,true,48 especies,
Golondrina Azul Grande (Progne chalybea),2,Laguna de Castillos--Área general,Con Desplazamiento,18/12/2024,06:16 AM,"2 hora(s), 15 minuto(s)",3.007 kilómetro(s),,,2,true,48 especies,
Golondrina Parda Grande (Progne tapera),1,Laguna de Castillos--Área general,Con Desplazamiento,18/12/2024,06:16 AM,"2 hora(s), 15 minuto(s)",3.007 kilómetro(s),,,2,true,48 especies,
Golondrina Azul Chica (Pygochelidon cyanoleuca),3,Laguna de Castillos--Área general,Con Desplazamiento,18/12/2024,06:16 AM,"2 hora(s), 15 minuto(s)",3.007 kilómetro(s),,,2,true,48 especies,
Golondrina Tijereta (Hirundo rustica),2,Laguna de Castillos--Área general,Con Desplazamiento,18/12/2024,06:16 AM,"2 hora(s), 15 minuto(s)",3.007 kilómetro(s),,,2,true,48 especies,
Ratonera (Troglodytes musculus),1,Laguna de Castillos--Área general,Con Desplazamiento,18/12/2024,06:16 AM,"2 hora(s), 15 minuto(s)",3.007 kilómetro(s),,,2,true,48 especies,
Cachirla Chica (Anthus chii),3,Laguna de Castillos--Área general,Con Desplazamiento,18/12/2024,06:16 AM,"2 hora(s), 15 minuto(s)",3.007 kilómetro(s),,,2,true,48 especies,
Chingolo (Zonotrichia capensis),5,Laguna de Castillos--Área general,Con Desplazamiento,18/12/2024,06:16 AM,"2 hora(s), 15 minuto(s)",3.007 kilómetro(s),,,2,true,48 especies,
Tordo Común (Molothrus bonariensis),2,Laguna de Castillos--Área general,Con Desplazamiento,18/12/2024,06:16 AM,"2 hora(s), 15 minuto(s)",3.007 kilómetro(s),,,2,true,48 especies,
Pecho Amarillo (Pseudoleistes virescens),40,Laguna de Castillos--Área general,Con Desplazamiento,18/12/2024,06:16 AM,"2 hora(s), 15 minuto(s)",3.007 kilómetro(s),,,2,true,48 especies,
Pitiayumí (Setophaga pitiayumi),2,Laguna de Castillos--Área general,Con Desplazamiento,18/12/2024,06:16 AM,"2 hora(s), 15 minuto(s)",3.007 kilómetro(s),,,2,true,48 especies,
Cardenal Copete Rojo (Paroaria coronata),2,Laguna de Castillos--Área general,Con Desplazamiento,18/12/2024,06:16 AM,"2 hora(s), 15 minuto(s)",3.007 kilómetro(s),,,2,true,48 especies,
Dorado (Sicalis flaveola),5,Laguna de Castillos--Área general,Con Desplazamiento,18/12/2024,06:16 AM,"2 hora(s), 15 minuto(s)",3.007 kilómetro(s),,,2,true,48 especies,
Misto (Sicalis luteola),8,Laguna de Castillos--Área general,Con Desplazamiento,18/12/2024,06:16 AM,"2 hora(s), 15 minuto(s)",3.007 kilómetro(s),,,2,true,48 especies,
